2023/12/22 23:29:04:382 	Total Order Loaded 3889
2023/12/22 23:37:04:584 	R F Client {"type":"ACTIVE_COLUMNS_CHANGED","requestType":"FETCH_CLIENT_POSITIONS","columns":["login","symbol","subbroker","clientbalance","clientfloatingpl","clientplnet","companyplnet"],"loginUser":"1001"}
2023/12/22 23:37:04:584 	Client RegesteredID:1001:50de353a8b1cd849918862ff7dd2c628-23:37:02:771 Login Status 1
2023/12/22 23:37:04:584 	O R F Client {"type":"FETCH_CLIENT_POSITIONS","fetchclientposition":{"type":"FETCH_CLIENT_POSITIONS","action":"refresh"}}
2023/12/22 23:37:04:584 	R F Client {"type":"FETCH_CLIENT_POSITIONS","action":"refresh"}
2023/12/22 23:37:04:584 	Client RegesteredID:1001:50de353a8b1cd849918862ff7dd2c628-23:37:02:771 Login Status 1
2023/12/22 23:40:29:983 	O R F Client {}
2023/12/22 23:40:29:983 	R F Client {}
2023/12/22 23:40:29:983 	Going to delete client For Key 1001:50de353a8b1cd849918862ff7dd2c628-23:37:02:771
2023/12/22 23:40:29:983 	Going to trminate thread 1001:50de353a8b1cd849918862ff7dd2c628-23:37:02:771
2023/12/22 23:40:30:185 	Client thread trminated 1001:50de353a8b1cd849918862ff7dd2c628-23:37:02:771
2023/12/22 23:40:30:185 	Call app_on_session_close 1001:50de353a8b1cd849918862ff7dd2c628-23:37:02:771
2023/12/22 23:40:30:185 	Client Removed From Client Context
2023/12/22 23:40:30:185 	Call app_on_session_close Finished 1001:50de353a8b1cd849918862ff7dd2c628-23:37:02:771
2023/12/22 23:40:30:187 	Client deleted 1001:50de353a8b1cd849918862ff7dd2c628-23:37:02:771
2023/12/22 23:40:30:883 	O R F Client {"loginbytoken":{"type":"loginbytoken","logintoken":"1001:50de353a8b1cd849918862ff7dd2c628-23:36:20:177!~o!1001!~o!122.161.52.99!~o!1703268380"}}
2023/12/22 23:40:30:883 	R F Client {"type":"loginbytoken","logintoken":"1001:50de353a8b1cd849918862ff7dd2c628-23:36:20:177!~o!1001!~o!122.161.52.99!~o!1703268380"}
2023/12/22 23:40:30:883 	Client RegesteredID:: Login Status 0
2023/12/22 23:40:30:883 	Going to lock client lock loginbytoken
2023/12/22 23:40:30:883 	Client lock locked
2023/12/22 23:40:30:883 	Exit from client lock
2023/12/22 23:40:30:883 	New Key Created loginbytoken Validated 1001:50de353a8b1cd849918862ff7dd2c628-23:40:30:883
2023/12/22 23:40:30:883 	U122
2023/12/22 23:40:30:883 	123
2023/12/22 23:40:30:891 	Going to enter in critical section
2023/12/22 23:40:30:893 	Entered in critical section
2023/12/22 23:40:31:089 	O R F Client {"typeandloginrequest":{"type":"FETCH_COLUMN_TEMPLATE","loginUser":"1001"}}
2023/12/22 23:40:31:089 	R F Client {"type":"FETCH_COLUMN_TEMPLATE","loginUser":"1001"}
2023/12/22 23:40:31:090 	Client RegesteredID:1001:50de353a8b1cd849918862ff7dd2c628-23:40:30:883 Login Status 1
2023/12/22 23:40:31:090 	O R F Client {"typeandloginrequest":{"type":"FETCH_CLIENT_POSITION_META_DATA","loginUser":"1001"}}
2023/12/22 23:40:31:090 	R F Client {"type":"FETCH_CLIENT_POSITION_META_DATA","loginUser":"1001"}
2023/12/22 23:40:31:090 	Client RegesteredID:1001:50de353a8b1cd849918862ff7dd2c628-23:40:30:883 Login Status 1
2023/12/22 23:40:31:256 	O R F Client {"typeandloginrequest":{"type":"FETCH_ALL_LOGIN_AND_SYMBOL"}}
2023/12/22 23:40:31:256 	R F Client {"type":"FETCH_ALL_LOGIN_AND_SYMBOL"}
2023/12/22 23:40:31:257 	Client RegesteredID:1001:50de353a8b1cd849918862ff7dd2c628-23:40:30:883 Login Status 1
2023/12/22 23:40:31:259 	O R F Client {"typeandloginrequest":{"type":"FETCH_PAGE_LIST","loginUser":"1001"}}
2023/12/22 23:40:31:259 	R F Client {"type":"FETCH_PAGE_LIST","loginUser":"1001"}
2023/12/22 23:40:31:259 	Client RegesteredID:1001:50de353a8b1cd849918862ff7dd2c628-23:40:30:883 Login Status 1
2023/12/22 23:40:31:261 	O R F Client {"typeandloginrequest":{"type":"FETCH_COLOR_THEMES","loginUser":"1001"}}
2023/12/22 23:40:31:261 	R F Client {"type":"FETCH_COLOR_THEMES","loginUser":"1001"}
2023/12/22 23:40:31:261 	Client RegesteredID:1001:50de353a8b1cd849918862ff7dd2c628-23:40:30:883 Login Status 1
2023/12/22 23:40:31:262 	O R F Client {"fetchcolortemplates":{"type":"FETCH_COLOR_TEMPLATES","loginUser":"1001"}}
2023/12/22 23:40:31:262 	R F Client {"type":"FETCH_COLOR_TEMPLATES","loginUser":"1001"}
2023/12/22 23:40:31:262 	Client RegesteredID:1001:50de353a8b1cd849918862ff7dd2c628-23:40:30:883 Login Status 1
2023/12/22 23:40:31:263 	O R F Client {"typeandloginrequest":{"type":"FETCH_COLUMN_TEMPLATE","loginUser":"1001"}}
2023/12/22 23:40:31:263 	R F Client {"type":"FETCH_COLUMN_TEMPLATE","loginUser":"1001"}
2023/12/22 23:40:31:263 	Client RegesteredID:1001:50de353a8b1cd849918862ff7dd2c628-23:40:30:883 Login Status 1
2023/12/22 23:40:31:263 	O R F Client {"typeandloginrequest":{"type":"FETCH_CLIENT_POSITION_META_DATA","loginUser":"1001"}}
2023/12/22 23:40:31:263 	R F Client {"type":"FETCH_CLIENT_POSITION_META_DATA","loginUser":"1001"}
2023/12/22 23:40:31:263 	Client RegesteredID:1001:50de353a8b1cd849918862ff7dd2c628-23:40:30:883 Login Status 1
2023/12/22 23:40:31:431 	O R F Client {"typeandloginrequest":{"type":"FETCH_ALL_LOGIN_AND_SYMBOL"}}
2023/12/22 23:40:31:431 	R F Client {"type":"FETCH_ALL_LOGIN_AND_SYMBOL"}
2023/12/22 23:40:31:431 	Client RegesteredID:1001:50de353a8b1cd849918862ff7dd2c628-23:40:30:883 Login Status 1
2023/12/22 23:40:31:697 	O R F Client {"type":"FETCH_PAGE_DETAILS","fetchpagedetails":{"type":"FETCH_PAGE_DETAILS","loginUser":"1001","pageId":"083d74f5-57a7-4d0e-9ef8-538c5629d1af"}}
2023/12/22 23:40:31:697 	R F Client {"type":"FETCH_PAGE_DETAILS","loginUser":"1001","pageId":"083d74f5-57a7-4d0e-9ef8-538c5629d1af"}
2023/12/22 23:40:31:697 	Client RegesteredID:1001:50de353a8b1cd849918862ff7dd2c628-23:40:30:883 Login Status 1
2023/12/22 23:40:31:743 	O R F Client {"typeandloginrequest":{"type":"FETCH_COLOR_THEMES","loginUser":"1001"}}
2023/12/22 23:40:31:743 	R F Client {"type":"FETCH_COLOR_THEMES","loginUser":"1001"}
2023/12/22 23:40:31:743 	Client RegesteredID:1001:50de353a8b1cd849918862ff7dd2c628-23:40:30:883 Login Status 1
2023/12/22 23:40:31:745 	O R F Client {"typeandloginrequest":{"type":"FETCH_SELECTED_THEME","loginUser":"1001"}}
2023/12/22 23:40:31:745 	R F Client {"type":"FETCH_SELECTED_THEME","loginUser":"1001"}
2023/12/22 23:40:31:745 	Client RegesteredID:1001:50de353a8b1cd849918862ff7dd2c628-23:40:30:883 Login Status 1
2023/12/22 23:40:31:746 	O R F Client {"fetchcolortemplates":{"type":"FETCH_COLOR_TEMPLATES","loginUser":"1001"}}
2023/12/22 23:40:31:746 	R F Client {"type":"FETCH_COLOR_TEMPLATES","loginUser":"1001"}
2023/12/22 23:40:31:746 	Client RegesteredID:1001:50de353a8b1cd849918862ff7dd2c628-23:40:30:883 Login Status 1
2023/12/22 23:40:32:163 	O R F Client {"fetchcolortemplates":{"type":"FETCH_COLOR_TEMPLATES","loginUser":"1001"}}
2023/12/22 23:40:32:163 	R F Client {"type":"FETCH_COLOR_TEMPLATES","loginUser":"1001"}
2023/12/22 23:40:32:163 	Client RegesteredID:1001:50de353a8b1cd849918862ff7dd2c628-23:40:30:883 Login Status 1
2023/12/22 23:40:32:533 	O R F Client {"activecolumnchagerequest":{"type":"ACTIVE_COLUMNS_CHANGED","requestType":"FETCH_CLIENT_POSITIONS","columns":["login","symbol","subbroker","clientbalance","clientfloatingpl","clientplnet","companyplnet"],"loginUser":"1001"}}
2023/12/22 23:40:32:533 	R F Client {"type":"ACTIVE_COLUMNS_CHANGED","requestType":"FETCH_CLIENT_POSITIONS","columns":["login","symbol","subbroker","clientbalance","clientfloatingpl","clientplnet","companyplnet"],"loginUser":"1001"}
2023/12/22 23:40:32:533 	Client RegesteredID:1001:50de353a8b1cd849918862ff7dd2c628-23:40:30:883 Login Status 1
2023/12/22 23:40:32:534 	O R F Client {"typeandloginrequest":{"type":"FETCH_CLIENT_POSITIONS","loginUser":"1001"}}
2023/12/22 23:40:32:534 	R F Client {"type":"FETCH_CLIENT_POSITIONS","loginUser":"1001"}
2023/12/22 23:40:32:534 	Client RegesteredID:1001:50de353a8b1cd849918862ff7dd2c628-23:40:30:883 Login Status 1
2023/12/22 23:40:32:535 	O R F Client {"activecolumnchagerequest":{"type":"ACTIVE_COLUMNS_CHANGED","requestType":"FETCH_CLIENT_POSITIONS","columns":["login","symbol","subbroker","clientbalance","clientfloatingpl","clientplnet","companyplnet"],"loginUser":"1001"}}
2023/12/22 23:40:32:535 	R F Client {"type":"ACTIVE_COLUMNS_CHANGED","requestType":"FETCH_CLIENT_POSITIONS","columns":["login","symbol","subbroker","clientbalance","clientfloatingpl","clientplnet","companyplnet"],"loginUser":"1001"}
2023/12/22 23:40:32:535 	Client RegesteredID:1001:50de353a8b1cd849918862ff7dd2c628-23:40:30:883 Login Status 1
2023/12/22 23:40:32:535 	O R F Client {"type":"FETCH_CLIENT_POSITIONS","fetchclientposition":{"type":"FETCH_CLIENT_POSITIONS","action":"refresh"}}
2023/12/22 23:40:32:535 	R F Client {"type":"FETCH_CLIENT_POSITIONS","action":"refresh"}
2023/12/22 23:40:32:535 	Client RegesteredID:1001:50de353a8b1cd849918862ff7dd2c628-23:40:30:883 Login Status 1
2023/12/22 23:41:12:133 	O R F Client {}
2023/12/22 23:41:12:133 	R F Client {}
2023/12/22 23:41:12:133 	Going to delete client For Key 1001:50de353a8b1cd849918862ff7dd2c628-23:40:30:883
2023/12/22 23:41:12:133 	Going to trminate thread 1001:50de353a8b1cd849918862ff7dd2c628-23:40:30:883
2023/12/22 23:41:12:334 	Client thread trminated 1001:50de353a8b1cd849918862ff7dd2c628-23:40:30:883
2023/12/22 23:41:12:334 	Call app_on_session_close 1001:50de353a8b1cd849918862ff7dd2c628-23:40:30:883
2023/12/22 23:41:12:334 	Client Removed From Client Context
2023/12/22 23:41:12:334 	Call app_on_session_close Finished 1001:50de353a8b1cd849918862ff7dd2c628-23:40:30:883
